financial_year,actual_revised_estimated,category,item,sector,ministry,type,amount,percent_of_gdp
2020,Actual,Expenditure,Total Expenditure,Social Development,Education,Operating,11767,0.025
2020,Actual,Expenditure,Total Expenditure,Social Development,Education,Development,493,0.001
2020,Actual,Expenditure,Total Expenditure,Social Development,National Development,Operating,4626,0.01
2020,Actual,Expenditure,Total Expenditure,Social Development,National Development,Development,1191,0.002
2020,Actual,Expenditure,Total Expenditure,Social Development,Health,Operating,14311,0.03
2020,Actual,Expenditure,Total Expenditure,Social Development,Health,Development,949,0.002
2020,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Operating,1646,0.003
2020,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Development,708,0.001
2020,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Operating,1927,0.004
2020,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Development,207,0
2020,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Operating,3673,0.008
2020,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Development,93,0
2020,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Operating,611,0.001
2020,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Development,20,0
2020,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Operating,2291,0.005
2020,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Development,3,0
2020,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Operating,13027,0.027
2020,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Development,278,0.001
2020,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Operating,6013,0.013
2020,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Development,800,0.002
2020,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Operating,398,0.001
2020,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Development,9,0
2020,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Operating,4166,0.009
2020,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Development,79,0
2020,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Operating,2945,0.006
2020,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Development,5327,0.011
2020,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Operating,2509,0.005
2020,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Development,2910,0.006
2020,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Operating,731,0.002
2020,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Development,53,0
2020,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Operating,904,0.002
2020,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Development,46,0
2020,Actual,Expenditure,Total Expenditure,Government Administration,Law,Operating,196,0
2020,Actual,Expenditure,Total Expenditure,Government Administration,Law,Development,21,0
2020,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Operating,502,0.001
2020,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Development,59,0
2020,Actual,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Operating,692,0.001
2020,Actual,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Development,184,0
2020,Actual,Expenditure,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,33502,0.07
2020,Actual,Expenditure,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,17320,0.036
2020,Actual,Expenditure,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,0,0
2020,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,0,0
2020,Actual,Expenditure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,0,0
2020,Actual,Revenue,Operating Revenue,Operating Revenue,Corporate Income Tax,Corporate Income Tax,16112,0.034
2020,Actual,Revenue,Operating Revenue,Operating Revenue,Personal Income Tax,Personal Income Tax,12748,0.027
2020,Actual,Revenue,Operating Revenue,Operating Revenue,Withholding Tax,Withholding Tax,1618,0.003
2020,Actual,Revenue,Operating Revenue,Operating Revenue,Statutory Boards' Contributions,Statutory Boards' Contributions,2519,0.005
2020,Actual,Revenue,Operating Revenue,Operating Revenue,Assets Taxes,Assets Taxes,3128,0.007
2020,Actual,Revenue,Operating Revenue,Operating Revenue,"Customs, Excise and Carbon Taxes","Customs, Excise and Carbon Taxes",3582,0.007
2020,Actual,Revenue,Operating Revenue,Operating Revenue,Goods and Services Tax,Goods and Services Tax,10346,0.022
2020,Actual,Revenue,Operating Revenue,Operating Revenue,Motor Vehicle Taxes,Motor Vehicle Taxes,2133,0.004
2020,Actual,Revenue,Operating Revenue,Operating Revenue,Betting Taxes,Betting Taxes,1722,0.004
2020,Actual,Revenue,Operating Revenue,Operating Revenue,Stamp Duty,Stamp Duty,3896,0.008
2020,Actual,Revenue,Operating Revenue,Operating Revenue,Other Taxes,Other Taxes,3606,0.008
2020,Actual,Revenue,Operating Revenue,Operating Revenue,Vehicle Quota Premiums,Vehicle Quota Premiums,2297,0.005
2020,Actual,Revenue,Operating Revenue,Operating Revenue,Fees and Charges (Excluding Vehicle Quota Premiums),Fees and Charges (Excluding Vehicle Quota Premiums),3181,0.007
2020,Actual,Revenue,Operating Revenue,Operating Revenue,Others,Others,489,0.001
2020,Actual,Revenue,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,18244,0.038
2021,Revised,Expenditure,Total Expenditure,Social Development,Education,Operating,12790,0.024
2021,Revised,Expenditure,Total Expenditure,Social Development,Education,Development,375,0.001
2021,Revised,Expenditure,Total Expenditure,Social Development,National Development,Operating,4777,0.009
2021,Revised,Expenditure,Total Expenditure,Social Development,National Development,Development,1134,0.002
2021,Revised,Expenditure,Total Expenditure,Social Development,Health,Operating,17355,0.032
2021,Revised,Expenditure,Total Expenditure,Social Development,Health,Development,1072,0.002
2021,Revised,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Operating,1907,0.004
2021,Revised,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Development,932,0.002
2021,Revised,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Operating,2128,0.004
2021,Revised,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Development,282,0.001
2021,Revised,Expenditure,Total Expenditure,Social Development,Social and Family Development,Operating,3711,0.007
2021,Revised,Expenditure,Total Expenditure,Social Development,Social and Family Development,Development,88,0
2021,Revised,Expenditure,Total Expenditure,Social Development,Communications and Information,Operating,628,0.001
2021,Revised,Expenditure,Total Expenditure,Social Development,Communications and Information,Development,20,0
2021,Revised,Expenditure,Total Expenditure,Social Development,Social Manpower,Operating,1616,0.003
2021,Revised,Expenditure,Total Expenditure,Social Development,Social Manpower,Development,6,0
2021,Revised,Expenditure,Total Expenditure,Security and External Relations,Defence,Operating,14803,0.027
2021,Revised,Expenditure,Total Expenditure,Security and External Relations,Defence,Development,558,0.001
2021,Revised,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Operating,6716,0.012
2021,Revised,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Development,1332,0.002
2021,Revised,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Operating,421,0.001
2021,Revised,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Development,13,0
2021,Revised,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Operating,4959,0.009
2021,Revised,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Development,86,0
2021,Revised,Expenditure,Total Expenditure,Economic Development,Transport,Operating,3764,0.007
2021,Revised,Expenditure,Total Expenditure,Economic Development,Transport,Development,6541,0.012
2021,Revised,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Operating,2413,0.004
2021,Revised,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Development,3728,0.007
2021,Revised,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Operating,734,0.001
2021,Revised,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Development,30,0
2021,Revised,Expenditure,Total Expenditure,Government Administration,Finance,Operating,977,0.002
2021,Revised,Expenditure,Total Expenditure,Government Administration,Finance,Development,132,0
2021,Revised,Expenditure,Total Expenditure,Government Administration,Law,Operating,212,0
2021,Revised,Expenditure,Total Expenditure,Government Administration,Law,Development,193,0
2021,Revised,Expenditure,Total Expenditure,Government Administration,Organs of State,Operating,581,0.001
2021,Revised,Expenditure,Total Expenditure,Government Administration,Organs of State,Development,64,0
2021,Revised,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Operating,1043,0.002
2021,Revised,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Development,285,0.001
2021,Revised,Expenditure,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,7897,0.015
2021,Revised,Expenditure,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,0,0
2021,Revised,Expenditure,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,0,0
2021,Revised,Expenditure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,656,0.001
2021,Revised,Expenditure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,0,0
2021,Revised,Revenue,Operating Revenue,Operating Revenue,Corporate Income Tax,Corporate Income Tax,17511,0.032
2021,Revised,Revenue,Operating Revenue,Operating Revenue,Personal Income Tax,Personal Income Tax,13827,0.026
2021,Revised,Revenue,Operating Revenue,Operating Revenue,Withholding Tax,Withholding Tax,1725,0.003
2021,Revised,Revenue,Operating Revenue,Operating Revenue,Statutory Boards' Contributions,Statutory Boards' Contributions,2860,0.005
2021,Revised,Revenue,Operating Revenue,Operating Revenue,Assets Taxes,Assets Taxes,4601,0.009
2021,Revised,Revenue,Operating Revenue,Operating Revenue,"Customs, Excise and Carbon Taxes","Customs, Excise and Carbon Taxes",3634,0.007
2021,Revised,Revenue,Operating Revenue,Operating Revenue,Goods and Services Tax,Goods and Services Tax,12010,0.022
2021,Revised,Revenue,Operating Revenue,Operating Revenue,Motor Vehicle Taxes,Motor Vehicle Taxes,2394,0.004
2021,Revised,Revenue,Operating Revenue,Operating Revenue,Betting Taxes,Betting Taxes,2320,0.004
2021,Revised,Revenue,Operating Revenue,Operating Revenue,Stamp Duty,Stamp Duty,6454,0.012
2021,Revised,Revenue,Operating Revenue,Operating Revenue,Other Taxes,Other Taxes,5464,0.01
2021,Revised,Revenue,Operating Revenue,Operating Revenue,Vehicle Quota Premiums,Vehicle Quota Premiums,3219,0.006
2021,Revised,Revenue,Operating Revenue,Operating Revenue,Fees and Charges (Excluding Vehicle Quota Premiums),Fees and Charges (Excluding Vehicle Quota Premiums),3445,0.006
2021,Revised,Revenue,Operating Revenue,Operating Revenue,Others,Others,904,0.002
2021,Revised,Revenue,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,20329,0.038
