financial_year,actual_revised_estimated,category,item,sector,ministry,type,amount,percent_of_gdp
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,Education,Operating,11767,0.025
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,Education,Development,493,0.001
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,National Development,Operating,4626,0.01
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,National Development,Development,1191,0.002
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,Health,Operating,14311,0.03
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,Health,Development,949,0.002
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Operating,1646,0.003
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Development,708,0.001
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Operating,1927,0.004
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Development,207,0
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Operating,3673,0.008
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Development,93,0
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Operating,611,0.001
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Development,20,0
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Operating,2291,0.005
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Development,3,0
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Operating,13027,0.027
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Development,278,0.001
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Operating,6013,0.013
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Development,800,0.002
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Operating,398,0.001
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Development,9,0
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Operating,4166,0.009
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Development,79,0
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Operating,2945,0.006
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Development,5327,0.011
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Operating,2509,0.005
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Development,2910,0.006
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Operating,731,0.002
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Development,53,0
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Operating,904,0.002
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Development,46,0
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Government Administration,Law,Operating,196,0
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Government Administration,Law,Development,21,0
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Operating,502,0.001
Fiscal Year 2020,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Development,59,0
