financial_year,actual_revised_estimated,category,item,sector,ministry,type,amount
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,Education,Operating,12790
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,Education,Development,375
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,National Development,Operating,4777
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,National Development,Development,1134
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,Health,Operating,17355
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,Health,Development,1072
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Operating,1907
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Development,932
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Operating,2128
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Development,282
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,Social and Family Development,Operating,3711
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,Social and Family Development,Development,88
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,Communications and Information,Operating,628
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,Communications and Information,Development,20
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,Manpower,Operating,1616
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Social Development,Manpower,Development,6
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Security and External Relations,Defence,Operating,14803
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Security and External Relations,Defence,Development,558
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Operating,6716
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Development,1332
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Operating,421
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Development,13
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Economic Development,Manpower,Operating,4959
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Economic Development,Manpower,Development,86
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Economic Development,Transport,Operating,3764
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Economic Development,Transport,Development,6541
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Operating,2413
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Development,3728
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Operating,734
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Development,30
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Government Administration,Finance,Operating,977
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Government Administration,Finance,Development,132
Fiscal Year 2021,Revised,Expenditure,Total Expenditure,Government Administration,Law,Operating,212
