"financial_year","actual_revised_estimated","category","item","sector","ministry","type","class","amount","percent_of_gdp"
1997,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,3348,0.022
1998,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,3167,0.022
1999,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,3257,0.022
2000,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,4277,0.025
2001,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,4767,0.03
2002,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,4824,0.029
2003,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,4997,0.029
2004,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,4975,0.025
2005,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,5215,0.024
2006,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,6352,0.026
2007,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,6786,0.024
2008,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,7477,0.028
2009,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,7838,0.027
2010,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,8999,0.027
2011,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,9698,0.027
2012,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,9637,0.026
2013,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,10665,0.027
2014,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,10712,0.026
2015,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,11236,0.026
2016,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,11812,0.026
2017,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,12080,0.025
2018,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,12429,0.024
2019,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,11932,0.023
2020,"Actual","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,11767,0.025
2021,"Revised","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,12790,0.024
2022,"Estimated","Expenditure","Total Expenditure","Social Development","Education","Operating",NA,13207,0.023
1997,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,1102,0.007
1998,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,1686,0.012
1999,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,1601,0.011
2000,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,1591,0.009
2001,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,1473,0.009
2002,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,1774,0.011
2003,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,1218,0.007
2004,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,1239,0.006
2005,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,867,0.004
2006,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,608,0.002
2007,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,742,0.003
2008,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,753,0.003
2009,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,847,0.003
2010,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,877,0.003
2011,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,1042,0.003
2012,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,860,0.002
2013,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,973,0.003
2014,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,886,0.002
2015,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,699,0.002
2016,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,657,0.001
2017,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,611,0.001
2018,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,447,0.001
2019,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,791,0.002
2020,"Actual","Expenditure","Total Expenditure","Social Development","Education","Development",NA,493,0.001
2021,"Revised","Expenditure","Total Expenditure","Social Development","Education","Development",NA,375,0.001
2022,"Estimated","Expenditure","Total Expenditure","Social Development","Education","Development",NA,393,0.001
1997,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,441,0.003
1998,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,402,0.003
1999,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,358,0.002
2000,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,325,0.002
2001,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,398,0.002
2002,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,409,0.002
2003,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,414,0.002
2004,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,377,0.002
2005,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,336,0.002
2006,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,671,0.003
2007,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,900,0.003
2008,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,805,0.003
2009,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,959,0.003
2010,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,790,0.002
2011,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,1428,0.004
2012,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,949,0.003
2013,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,673,0.002
2014,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,858,0.002
