financial_year,actual_revised_estimated,category,item,sector,ministry,type,amount,percent_of_gdp
1997,Actual,Expenditure,Total Expenditure,Social Development,Education,Operating,3348,0.022
1997,Actual,Expenditure,Total Expenditure,Social Development,Education,Development,1102,0.007
1997,Actual,Expenditure,Total Expenditure,Social Development,National Development,Operating,441,0.003
1997,Actual,Expenditure,Total Expenditure,Social Development,National Development,Development,972,0.006
1997,Actual,Expenditure,Total Expenditure,Social Development,Health,Operating,896,0.006
1997,Actual,Expenditure,Total Expenditure,Social Development,Health,Development,274,0.002
1997,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Operating,318,0.002
1997,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Development,652,0.004
1997,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Operating,0,0
1997,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Development,0,0
1997,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Operating,290,0.002
1997,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Development,169,0.001
1997,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Operating,186,0.001
1997,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Development,137,0.001
1997,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Operating,0,0
1997,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Development,0,0
1997,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Operating,6097,0.041
1997,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Development,418,0.003
1997,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Operating,994,0.007
1997,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Development,900,0.006
1997,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Operating,143,0.001
1997,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Development,6,0
1997,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Operating,53,0
1997,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Development,5,0
1997,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Operating,314,0.002
1997,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Development,1346,0.009
1997,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Operating,341,0.002
1997,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Development,2175,0.015
1997,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Operating,0,0
